и	and
и́мпульс	impulse
ме́неджмент	management
приготовле́ние	cooking, preparation
вы́лет	departure
удо́бство	convenience
повторе́ние	repetition
поля́к	Pole
о́гненный	fiery
боково́й	side
сгоре́ть	burn (down)
во́льный	free
ночева́ть	stay overnight, spend the night
ве́жливо	politely
кача́ть	rock, shake
различа́ть	distinguish, tell apart
душ	shower
лѐгкость	ease, lightness
нетерпе́ние	impatience
зави́довать	envy
устана́вливаться	be installed, be established
ча́йник	kettle, teapot, dummy
напряму́ю	directly
убы́ток	loss
архите́ктор	architect
допро́с	interrogation
отлича́ть	distinguish
эконо́мия	savings, economy
невысо́кий	low, small
энтузиа́зм	enthusiasm
авиацио́нный	aviation
висо́к	temple
поруче́ние	order, assignment
че́реп	skull
отклоне́ние	deviation
ла́сковый	tender
дружи́ть	be friends
смерте́льный	deadly
козѐл	he-goat, arsehole (slang)
жили́щный	housing
чрезвыча́йный	extraordinary, extreme
симпа́тия	affection, sympathy
уста́лый	tired
мм	mm, millimeter, millimetre
долгосро́чный	long-term
огоро́д	allotment
кисть	brush, palm
защи́тный	protective, defensive
пенсио́нный	pension
абоне́нт	subscriber
ра́венство	equality
се́кция	section, club
урожа́й	harvest
реконстру́кция	reconstruction, refurbishment
о́черк	feature story
обезья́на	monkey
за́пуск	launch
фанта́стика	science fiction
контине́нт	continent
сде́рживать	restrain
гвоздь	nail
ме́дный	copper
яд	poison
строи́тель	builder
представи́тельство	representative, office
этни́ческий	ethnic
база́р	market, talk (slang)
у́личный	street
кружо́к	circle, hobby group, club
серебро́	silver
полнота́	fullness, corpulence
агресси́вный	aggressive
подключе́ние	connection
жа́лость	pity
презента́ция	presentation
звон	ringing, jingling
констру́ктор	constructor, engineer
писа́ться	write
серде́чный	heart
по́хороны	funeral
инди́йский	Indian
украша́ть	decorate
бе́дность	poverty
се́мьдесят	seventy
формулиро́вка	wording
колбаса́	sausage
корзи́на	basket
территориа́льный	territorial
анало́гия	analogy
колосса́льный	colossal
пла́стиковый	plastic
микрофо́н	microphone
прибы́тие	arrival
перча́тка	glove
инстру́ктор	instructor
ски́дка	discount
непросто́й	difficult
эксперимента́льный	experimental
запла́кать	start crying
традицио́нно	traditionally
акционе́р	stockholder, shareholder
изложе́ние	summary
содержи́мое	content(s)
цивилизо́ванный	civilized
квадра́т	square
ла́мпочка	bulb
за́дница	arse
стресс	stress
факти́ческий	actual, real, factual
индустри́я	industry
га́лстук	tie
полоте́нце	towel
струя́	jet
после́довательный	sequential, consistent
путеше́ствовать	travel
грана́та	grenade
изме́на	betrayal, treason, adultery
вдали́	in the distance
моло́чный	milk, dairy
пе́ние	singing
превосходи́ть	exceed
изя́щный	graceful
ка́бель	cable
возраже́ние	objection
тре́звый	sober
проводни́к	conductor
бере́чь	save, take care
проекти́рование	design, designing
ста́туя	statue
вози́ть	drive, carry
не́жность	tenderness
хи́мия	chemistry
сыно́к	son (diminutive)
стыд	shame
шага́ть	stride, walk
выжива́ние	survival
тысячеле́тие	millennium
толка́ть	push
автоно́мный	offline, autonomous
ба́бочка	butterfly
входно́й	entrance
про́бка	cork, traffic jam
игнори́ровать	ignore
трево́жный	anxious
стимули́ровать	stimulate
восхище́ние	admiration
мрак	darkness
артиллери́йский	artillery
совпаде́ние	coincidence
би́ржа	exchange
завора́чивать	wrap
монстр	monster
буржуа́зный	bourgeois
интуи́ция	intuition
пропи́сывать	prescribe
мотива́ция	motivation
превраще́ние	transformation
спи́нка	backrest, back
географи́ческий	geographical
иссле́довательский	research
отвраще́ние	disgust, repulsion
ара́б	Arab
и́мидж	image
рвать	tear, vomit
роди́тельский	parental
ве́дьма	witch
колле́дж	college
оказа́ние	providing, giving
нового́дний	New Year('s)
анке́та	form
грандио́зный	grandiose
незнако́мец	stranger
усло́вно	conditionally, tentatively
обслу́живать	serve
сосна́	pine
выу́чивать	learn
овца́	sheep
расстро́йство	disorder
толчо́к	push
оболо́чка	cover, shell
вы́езд	departure, exit
окре́стность	neighbourhood
вдво́е	twice
дру́жеский	friendly
классифика́ция	classification
деклара́ция	declaration
случа́йность	chance, accident
отступле́ние	retreat, digression
функциони́ровать	function
гром	thunder
промежу́ток	interval
разнови́дность	variety, form
ниско́лько	not at all
проща́ться	say goodbye
Алла́х	Allah
кла́виша	key
шерсть	wool
конфе́та	sweet, chocolate
интенси́вный	intensive, intense
лову́шка	trap
преподава́ть	teach
тупи́к	cul-de-sac, dead end
вме́шиваться	interfere, interrupt
необыкнове́нный	unusual
романти́ческий	romantic
переворо́т	revolution, coup d'état
приближе́ние	approaching
че́люсть	jaw
бухга́лтерский	accounting
жа́рко	hot
соба́чий	dog
интона́ция	intonation
съе́здить	go
гра́мотный	literate, trained
вздох	breath
бе́женец	refugee
премье́р	premier
агре́ссия	aggression
валю́тный	revenue, income
взвод	troop, platoon
взя́тка	bribe
ую́тный	comfortable, cosy
сооте́чественник	compatriot
зало́жник	hostage
компози́тор	composer
дви́гать	move
жи́тельство	residence
инти́мный	intimate
вы́дача	extradition, release, issue
рю́мка	shotglass, shot
коло́нка	column, speaker
глу́по	foolish(ly)
отры́вок	fragment, passage
пе́чка	stove
тигр	tiger
фото́граф	photographer
ИТ	IT
деле́ние	division
ввод	input, bringing in
юбиле́й	anniversary
нелѐгкий	difficult
витри́на	showcase
сала́т	salad
спра́вочник	directory
ана́лог	analogue
официа́нт	waiter
влады́ка	sovereign, ruler
и́збранный	elected, selected
щено́к	puppy
пла́вание	swimming
вертика́льный	vertical, upright
да́льше	further, longer
электри́чество	electricity
расписа́ние	timetable, schedule
оби́дно	pity, offended
нева́жный	unimportant, bad
пиро́г	pie
безу́мие	madness, frenzy
ска́чивать	download
вели́чие	greatness, splendour
певе́ц	singer
серди́ться	be angry
тетра́дь	notebook, exercise book
дое́хать	reach, get
шуме́ть	make a noise, be noisy
бана́льный	banal
энерги́чный	energetic
вложе́ние	investment
олимпиа́да	Olympics, Olympiad
армяни́н	Armenian
клавиату́ра	keyboard
медсестра́	nurse
буке́т	bouquet
вдова́	widow
европе́ец	European
меньшинство́	minority
обло́жка	cover
бе́шеный	rabid, frantic
купа́ться	bathe
бал	ball
ссо́ра	quarrel, row
во́семьдесят	eighty
влюбле́нный	in love
кран	tap
любова́ться	admire
тря́пка	cloth
пла́тный	paid, pay
апте́ка	pharmacy
треуго́льник	triangle
заплани́ровать	plan
аппети́т	appetite
презервати́в	condom
детекти́в	detective
напуга́ть	scare, frighten
чече́нец	Chechen
доброво́льный	voluntary
кошелѐк	purse
непра́вда	lie
витами́н	vitamin
простыня́	bed sheet
наименова́ние	name
фотоаппара́т	camera
чи́стить	clean
девяно́сто	ninety
теря́ться	be lost
пятьсо́т	five hundred
увлека́ться	be enthusiastic
вари́ть	cook, boil, make
сме́лость	courage
капу́ста	cabbage
гла́дить	iron, stroke
обе́дать	have lunch
уменьша́ться	decrease, be reduced
тро́йка	figure of three, group of three, mark of three
дру́жно	amicably, all at once
лить	pour
диза́йнер	designer
путеше́ственник	traveller
блонди́нка	blonde
бег	run, race
дырка	hole
исла́мский	Islamic
пове́рх	over
туристи́ческий	tourist
КПРФ	Communist Party of the Russian Federation
ѐлка	(Christmas) tree, spruce
по́ртить	spoil
спи́чка	match
прогла́тывать	swallow
электроэне́ргия	electric power
предло́г	excuse, preposition
олимпи́йский	Olympic
извиня́ться	apologize
холл	hall
ворова́ть	steal
сочу́вствие	sympathy
шу́мный	noisy
прила́вок	counter
ре́вность	jealousy
доброта́	kindness
мотоци́кл	motorcycle
закры́тие	closing
кипе́ть	boil
тури́зм	tourism
разводи́ться	get divorced
кани́кулы	vacation, holidays
пожа́рный	fire-fighter
пульт	control panel, remote control
кла́ссика	classics
удостовере́ние	certificate
ве́ко	eyelid
футбо́льный	football
по́люс	pole
насеко́мое	insect
жи́дкий	liquid
гроза́	storm
октя́брьский	October
разноцве́тный	multi-coloured
ска́зочный	fairy-tale
ча́йный	tea
впра́во	to the right
энциклопе́дия	encyclopaedia
прорабо́тать	work, work out
то́рмоз	brake
увезти́	take away
буди́ть	wake
ноль	zero, null
разреша́ться	be allowed, be solved
при́нтер	printer
уха́живать	care for, take care, court
начина́ющий	amateur
бело́к	protein
моро́женое	ice-cream
таба́к	tobacco
уси́ливаться	strengthen, get stronger
отме́тка	mark
трусы́	pants, boxers
ве́жливый	polite
вле́во	to the left
по́вар	chef, cook
у́стный	oral
изве́стность	celebrity, fame
мусульма́нский	Muslim
пе́на	foam
Бу́дда	Buddha
настоя́щее	present
огуре́ц	cucumber
подоко́нник	windowsill
постуча́ть	knock
телекана́л	TV channel
толщина́	thickness
ни́зко	low
пле́нный	captive, prisoner
три́жды	three times
бага́ж	luggage
веб	web
глаго́л	verb
жева́ть	chew
за́втрашний	tomorrow's
откры́тка	postcard
ВИЧ	HIV
реко́рд	record
электри́чка	train
проща́ние	farewell
цирк	circus
приземля́ться	land
см	cm, centimeter, centimetre
ни́щий	beggar
посы́лка	parcel
ве́рующий	believer
ха́кер	hacker
встре́чный	counter, oncoming
геогра́фия	geography
сбо́рная	team
вероя́тно	probably
перекрѐсток	crossroads
поздравле́ние	congratulation, greetings
го́рько	bitter
тера́кт	terrorist attack
заинтересова́ться	become interested
крем	cream
близне́ц	twin
горячо́	hot
перее́зд	move, railway crossing
бале́т	ballet
биоло́гия	biology
хвали́ть	praise
дежу́рный	on duty
джи́нсы	jeans
стадио́н	stadium
прохла́дный	cool
документа́льный	documentary
комфо́рт	comfort
факс	fax
перено́с	hyphen, transfer
стира́ть	wash, wipe
запасно́й	spare
со́нный	sleepy
ненадо́лго	for a (short) while, not for long
гимн	hymn, anthem
шестна́дцать	sixteen
бульва́р	alley
присни́ться	have a dream (nightmare)
бокс	boxing
патрио́т	patriot
деся́тка	ten, figure of ten, ten rubles
шѐлковый	silk
шить	sew
убо́рка	clean, cleaning, harvest
двадца́тый	twentieth
промолча́ть	remain silent
нару́жный	exterior, outside
прихо́жая	hallway
университе́тский	university
оре́х	nut
тормози́ть	brake, freeze (slang)
взве́шивать	weigh
котѐнок	kitten
ра́ковина	shell, sink
ви́лка	fork
страхо́вка	insurance
аккура́тный	neat, exact
целова́ться	kiss
сча́стливо	happily, good luck
скульпту́ра	sculpture
стоп	stop
чита́ться	be read, be pronounced
скамья́	bench
неприя́тно	unpleasantly
пу́говица	button
шокола́д	chocolate
террористи́ческий	terrorist
вино́вный	guilty
лени́вый	lazy
оптими́зм	optimism
восемна́дцать	eighteen
ша́хматы	chess
африка́нский	African
ги́бнуть	die
уко́л	injection
раздава́ть	distribute, hand out
ве́шать	hang
лы́жа	ski
пра́вильность	accuracy
Вене́ра	Venus
обуча́ться	learn, be trained
племя́нник	nephew
анте́нна	antenna
попола́м	fifty-fifty, in half
воспита́тель	nursery teacher
взлѐт	take-off
приве́тствие	greeting
извине́ние	excuse, apology
про́пуск	pass, permit, absence
классик	classical author
поликли́ника	outpatient clinic
грипп	flu
неудо́бно	uncomfortable, uneasy
указа́тель	road sign, sign, mark
алкого́льный	alcoholic
тѐща	mother-in-law
я́года	berry
продлева́ть	prolong
испу́г	fright
конте́йнер	container, box, skip
лы́сый	bald
причѐска	hairstyle, haircut
пра́здновать	celebrate
различа́ться	differ
сы́тый	satiated, be full
бутербро́д	open sandwich
кома́р	mosquito
четы́рнадцать	fourteen
выдыха́ть	exhale, breathe out
студе́нтка	student (female)
диктова́ть	dictate
каблу́к	heel
ку́хонный	kitchen
назе́мный	ground, overground
моби́льник	mobile phone
мо́стик	small bridge, command bridge
аре́на	arena, stage
зубно́й	dental, tooth
казино́	casino
дога́дка	guess, speculation, suspicion
абза́ц	paragraph
эконо́мить	save
ня́ня	nanny, nurse
тост	toast
вблизи́	nearby, close up
уме́ренный	moderate
дискоте́ка	disco
несправедли́вый	unfair
солѐный	salt(y)
купе́	compartment, coupe
су́ша	(dry) land
град	hail
комплиме́нт	compliment
бланк	form
Па́сха	Easter
голла́ндский	Dutch
моде́м	modem
ре́ктор	rector
земля́к	fellow countryman
нулево́й	zero, no
неме́дленный	immediate
расти́тельный	vegetable
те́сто	dough
карто́фель	potatoes
зарегистри́роваться	register, check in
пятѐрка	figure of five, group of five, grade five (= E), five roubles
вну́чка	granddaughter
пле́ер	portable disk or tape player, walkman
часово́й	security guard
куре́ние	smoking
семна́дцать	seventeen
азиа́тский	Asian
аккумуля́тор	rechargeable battery
коро́на	crown
украи́нец	Ukrainian
блокно́т	notebook
заку́ска	appetizer, snack
по́черк	handwriting
суперма́ркет	supermarket
коза́	goat, she-goat
перело́м	bone fracture, turning point
ве́сить	weigh
ма́йка	T-shirt
унита́з	toilet bowl
ресни́ца	eyelash
слог	syllable
торт	cake
финн	Finn
жа́дный	greedy
несовершенноле́тний	minor, juvenile
магнитофо́н	tape recorder
самостоя́тельность	independence
пя́тка	heel
развито́й	developed
прова́йдер	provider
чат	chat room, chat
лине́йка	ruler
ненорма́льный	abnormal
патриоти́зм	patriotism
цент	cent
вы́веска	sign, signboard
дворяни́н	nobleman
трина́дцать	thirteen
въезд	entrance
загрязне́ние	pollution
ры́бный	fish
чек	cheque
тролле́йбус	trolley bus
непонима́ние	misunderstanding, lack of understanding
ПК	PC
корм	feed
зоопа́рк	zoo
певи́ца	singer (female)
греме́ть	thunder
занаве́ска	curtain
кастрю́ля	saucepan
сви́тер	sweater
помидо́р	tomato
за́мужем	married (woman)
плыть	swim, sail
пра́зднование	celebration
су́хо	dry(ly)
низ	bottom
моноло́г	monologue
повыша́ться	rise
зять	son-in-law
подно́с	tray
автомаши́на	car
уби́тый	murdered, killed
фиоле́товый	purple
сбо́ку	at the side
ва́за	vase, bowl
выпрямля́ться	straighten up
доба́вка	supplement, addition, more
светло́	light
развя́зывать	untie
профессионали́зм	professionalism
пе́рец	pepper
быстрота́	speed
полуо́стров	peninsula
измеря́ть	measure
блог	blog
отхо́ды	waste, refuse
некраси́вый	not attractive
жа́реный	roasted, fried
кокте́йль	cocktail, shake
пешехо́д	pedestrian
нелегко́	with difficulty, hard
иуде́й	orthodox Jew
посло́вица	saying
буфе́т	cafeteria, sideboard
грамма́тика	grammar
по́дданный	national, subject
боксѐр	boxer
па́рта	school desk
стипе́ндия	scholarship
лень	laziness
бана́н	banana
отопле́ние	heating
ра́дуга	rainbow
кио́ск	small shop, kiosk
поле́зность	usefulness, utility
вака́нсия	vacancy
продавщи́ца	shop assistant (female)
брошю́ра	brochure
алфави́т	alphabet
однокла́ссник	schoolmate, classmate
сла́дко	sweet(ly)
негро́мко	not loud, quietly
втроѐм	three (people)
испа́нец	Spaniard
гид	(tour) guide
у́жинать	have dinner
налогопла́тельщик	taxpayer
запреща́ться	prohibit
четвѐрка	figure of four, group of four, grade four
су́пер	super, great
уводи́ть	take away
весы́	scale(s), balance
поперѐк	across
взросле́ть	mature
посереди́не	in the middle
выздора́вливать	recover
обме́нивать	exchange
безрабо́тный	unemployed
сгиба́ть	bend
переку́сывать	have a snack, eat
прибива́ть	fasten (by nailing)
ода́лживать	lend, borrow
спонта́нный	spontaneous
вычѐркивать	strike out
общи́тельный	sociable
выключа́тель	switch
просту́да	cold
бинт	bandage
загла́вие	title
восьмидеся́тый	eightieth
переска́зывать	retell
шестьсо́т	six hundred
распрода́жа	clearance sale
се́меро	seven (people)
творо́г	cottage cheese
смета́на	sour cream
аплоди́ровать	applaud, cheer
гель	gel
ко́микс	comics
мѐрзнуть	freeze
ме́рить	measure, try
спортза́л	gym
мочи́ть	soak, kill (slang)
пре́сный	flavourless, fresh (water)
като́к	ice rink
семѐрка	figure of seven, seven
отправи́тель	sender
апартаме́нты	apartment
девятна́дцатый	nineteenth
трудолюби́вый	hard-working
суши́ть	dry, air
купа́льник	swimming costume, bikini
гольф	golf
загора́ть	sunbathe
семна́дцатый	seventeenth
девяно́стый	ninetieth
чуде́сно	wonderful(ly)
схва́тывать	grab, apprehend, catch
зонт	umbrella
пятидеся́тый	fiftieth
пе́рсик	peach
шампу́нь	shampoo
умыва́ться	have a wash
баскетбо́л	basketball
девятьсо́т	nine hundred
паркова́ть	park
прилага́тельное	adjective
свѐкла	beetroot
девя́тка	figure of nine, nine
враща́ть	rotate
кавы́чка	quotation mark
клубни́ка	strawberry
вноси́ться	be introduced, be made
дыря́вый	holey, having holes
заму́жний	married (woman)
модифици́ровать	modify, change
обнажа́ть	uncover
пижа́ма	pyjamas
всеобъе́млющий	universal
кле́точка	checked, cell
космодро́м	cosmodrome
павли́н	peacock
самодержа́вие	autocracy
тормозно́й	brake
у́ксус	vinegar
экзо́тика	exotica
блю́дце	saucer
выполза́ть	crawl out
конспе́кт	summary
ли́фчик	bra
мину́точка	minute (diminutive)
отдыха́ющий	holidaymaker
перекры́тие	ceiling, overlap
трансли́роваться	be transmitted
хмель	hops
во́рох	pile
подви́жность	mobility
поутру́	in the morning
приба́вка	addition, rise
штурва́л	steering wheel
повседне́вность	everyday life
поны́не	to this day, still
синхрониза́ция	synchronization
числово́й	numerical
швейца́р	porter
штукату́рка	plaster
экстреми́стский	extremist
анти́чность	antiquity
брази́льский	Brazilian
захлѐбываться	choke, gasp
мимохо́дом	in passing
перебро́ска	transfer, deployment
пе́шка	pawn
политехни́ческий	polytechnic
по́ртиться	deteriorate, be spoiled
предохрани́тель	fuse
сбо́рище	crowd, mob
сде́рживание	containment, deterrence
скандина́вский	Scandinavian
СМС	SMS
сторожи́ть	guard
сце́нка	sketch, skit
шля́ться	hang around, gallivant
карто́фельный	potato
конфе́тка	sweet
кровяно́й	blood
марихуа́на	marijuana
обнима́ться	hug
расплы́вчатый	vague
репродукти́вный	reproductive
су́мрачный	gloomy
царе́вна	tsarevna, princess
во́льность	freedom
времена́ми	at times, sometimes
заправля́ть	fuel
комо́д	chest of drawers
космополи́т	citizen of the world, cosmopolitan
ми́зерный	measly
мураве́йник	anthill
перегово́рный	communication device, intercom
радиоприѐмник	radio
рассека́ть	cross, dissect
спада́ть	ease off
бегемо́т	hippopotamus
воодушевле́ние	enthusiasm, inspiration
вселя́ть	inspire, move
лингви́ст	linguist
ме́бельный	furniture
мести́	sweep
наѐм	hire, rent
обою́дный	mutual
пови́нность	(military, feudal) duty
сцени́ческий	stage
созида́ние	creativity
глуби́нка	backwater
дви́жущий	driving
зати́шье	calm
кульмина́ция	culmination
переступа́ть	go over, overstep
презри́тельный	contemptuous
у́сики	moustache, antenna
фанто́м	phantom
ши́бко	very (dialect)
апелли́ровать	appeal, call on
була́вка	pin
насчи́тывать	count
пыхте́ть	puff, pant
рукопожа́тие	handshake
точи́ть	sharpen
ту́мбочка	bedside
хло́пец	boy (dialect)
щекота́ть	tickle
а́йсберг	iceberg
атеи́зм	atheism
бри́ться	shave
ветчина́	ham
выведе́ние	raising, breeding, removal, elimination
вя́зкий	thick, viscous, sticky
замо́рский	foreign, overseas
инвали́дность	disability
килова́тт	kilowatt
недостижи́мый	unattainable
поря́дочность	decency
пресече́ние	restraint, constraint
рада́р	radar
распя́тие	crucifixion, crucifix
столбе́ц	column
блинда́ж	bunker
квас	kvass (Russian drink)
кла́стер	cluster
отве́сный	sheer, vertical
пле́сень	mould
разоблачи́ть	expose, reveal
реалисти́чный	realistic
самоуве́ренный	(self-)confident, assertive
сде́ржанность	restraint
слепота́	blindness
спазм	spasm
трево́житься	worry
тюльпа́н	tulip
усма́тривать	see, perceive
черне́ть	turn black
янта́рный	amber
ареста́нт	convict, prisoner
ве́нчурный	venture
вы́учиться	learn
дешеве́ть	become cheaper
империалисти́ческий	imperialist
каче́ли	swing
морга́ть	blink
му́мия	mummy
надави́ть	press, put pressure on
непристо́йный	obscene
неуклю́жий	clumsy
отве́дать	taste, partake of
плеть	whip, vine
утомля́ть	tire, tire out
худо́жница	artist (female)
колыха́ться	sway, flicker
насмотре́ться	see enough
неве́сть	nobody knows, God knows
обма́нчивый	deceptive, false
перебега́ть	run over, run across
ска́тываться	roll down, slide down
сыно́чек	son (affectionate)
паде́ж	case
поно́с	diarrhoea
свини́на	pork
со́тый	one-hundredth
чернови́к	draft
врата́рь	goalkeeper
сли́вочный	creamy
поте́ть	sweat
на́сморк	head cold, runny nose
четы́рнадцатый	fourteenth
ю́зер	PC user
программи́ровать	program
прикрепля́ть	attach, put
передвига́ть	move
пятна́дцатый	fifteenth
бо́дрствовать	keep awake
восемна́дцатый	eighteenth
не́мка	German (female)
автоотве́тчик	answering machine
сороково́й	fortieth
простуди́ться	catch cold
трина́дцатый	thirteenth
прича́стие	participle, communion
шестна́дцатый	sixteenth
позапро́шлый	before last
вопроси́тельный	question
санда́лии	sandals
местоиме́ние	pronoun
многоэта́жный	multi-storey
пи́ксель	pixel
дорожа́ть	get more expensive, go up
логи́н	username
ды́ня	melon
фи́тнес	fitness
семьсо́т	seven hundred
оса́дки	precipitation
сковорода́	pan
я́сли	nursery
страхова́ть	insure
волейбо́л	volleyball
тю́бик	tube
аллерги́ческий	allergic
умножа́ть	multiply
восемьсо́т	eight hundred
кле́ить	glue
мандари́н	mandarin
транскри́пция	transcription
гомосексуа́льный	homosexual
чаевы́е	tip
бюстга́льтер	bra
консульти́ровать	consult
разме́нивать	change (money)
бо́улинг	bowling
по́зже	later
переспра́шивать	ask again
восклица́тельный	exclamation
застѐжка	fastener
пла́стырь	patch, plaster
банкома́т	cash machine
сма́йлик	smiley
гла́сный	vowel
жалюзи́	window blind
жиле́тка	waistcoat
